"Story","Title","Result","Date","Stability","Duration (s)"
"Crear nuevo usuario","Crear nuevo registro","SUCCESS","2022-08-19T21:11:17.421-05:00[America/Bogota]","0.0","26.69"
"Crear nuevo usuario","Comprar un articulo","SUCCESS","2022-08-19T21:11:44.812-05:00[America/Bogota]","0.0","42.67"
